"diffSeTime1","diffSeTime2","diffSeTime3","diffSeTime4","diffSeTime5","diffSeTime6","diffSeTime7","diffSeTime8"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0.001","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"-0.002","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","-0.002","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0.001","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0.001","0","-0.001","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","-0.002","0"
"-0.003","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","-0.002","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0.001","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","-0.002","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0.001","0","0","0","0","0","0","0"
"0","0","0","0","0","0","-0.001","0"
"0","0","0","0","0","0","-0.002","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"-0.002","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"-0.001","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0.001","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0.001","0","0","0","0","0"
"0","0","0","0","0","0","-0.001","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"-0.002","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"-0.002","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0.001","0","0","0"
"0","0","0","0","0","0","0.002","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","-0.001","0","-0.001","0"
"0","0","0","0","-0.002","0","-0.001","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0.002","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0.001","0","0","0","-0.001","0","-0.002","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0.001","0","0","0","0","0","-0.003","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","-0.001","0","-0.001","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","-0.001","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0.001","0"
"-0.001","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0.001","0","0","0"
"0","0","0","0","0","0","0","0"
"-0.001","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0.001","0","0","0","-0.002","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"-0.002","0","0","0","0","0","0","0"
"-0.001","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0.001","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"-0.001","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"-0.001","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"-0.001","0","0","0","0","0","0","0"
"-0.001","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","-0.002","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","-0.001","0","-0.001","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","-0.002","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0.001","0","0","0"
"-0.001","0","0.001","0","-0.001","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","-0.001","0","-0.001","0","-0.001","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"-0.001","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0.001","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0.001","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","-0.002","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"-0.001","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0.002","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","-0.002","0","-0.002","0","0","0"
"0.001","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"-0.001","0","0","0","0","0","0","0"
"0.001","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"-0.002","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0.001","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","-0.002","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"-0.002","0","-0.002","0","0","0","0","0"
"0","0","0","0","0","0","-0.001","0"
"0","0","0","0","0","0","0","0"
"-0.002","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0.001","0","0","0","0","0","0","0"
"0","0","-0.002","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"-0.002","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","-0.002","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"-0.002","0","0","0","-0.003","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"-0.002","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","-0.002","0","0","0","0","0"
"0","0","0","0","0","0","-0.002","0"
"0","0","0","0","-0.002","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","-0.001","0"
"0.001","0","0","0","0","0","0","0"
"-0.002","0","0","0","0","0","0.001","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","-0.002","0","0","0","0","0"
"-0.001","0","0","0","0","0","0","0"
"0","0","0","0","-0.001","0","-0.001","0"
"-0.001","0","0","0","-0.001","0","0","0"
"0","0","0","0","0","0","0","0"
"-0.002","0","0","0","0","0","0","0"
"0","0","0","0","-0.002","0","-0.002","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","-0.001","0","0","0"
"0","0","0","0","0","0","0.002","0"
"-0.001","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","-0.001","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","-0.002","0","0","0"
"-0.002","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0.001","0"
"-0.001","0","0","0","0","0","0","0"
"0","0","0","0","-0.001","0","-0.001","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","-0.001","0","0","0"
"-0.002","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"-0.002","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0.002","0","0","0","0","0","0","0"
"0","0","0","0","0","0","-0.002","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","-0.001","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","-0.002","0","0","0"
"-0.002","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","-0.001","0","0.001","0"
"0.001","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"-0.001","0","0","0","0","0","-0.001","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","-0.005","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","-0.003","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"-0.003","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0.002","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","-0.001","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0.003","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0.002","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"-0.002","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","-0.001","0"
"0","0","0","0","0","0","0","0"
"-0.002","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"-0.002","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","-0.002","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","-0.002","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","-0.003","0"
"0","0","0","0","0","0","-0.001","0"
"0","0","0","0","0","0","0","0"
"0","0","0.001","0","0","0","0","0"
"0","0","0","0","0","0","-0.001","0"
"-0.002","0","0","0","0","0","0","0"
"-0.001","0","0","0","0","0","0","0"
"0.001","0","0","0","0","0","0","0"
"-0.002","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"-0.002","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"-0.002","0","0","0","0.001","0","0","0"
"0.001","0","0.001","0","0","0","0","0"
"0","0","0.001","0","0.002","0","0.001","0"
"0","0","0","0","0","0","0","0"
"-0.002","0","-0.002","0","-0.002","0","-0.001","0"
"0.001","0","0.001","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","-0.002","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"-0.002","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0.001","0","0","0","0","0","0","0"
"-0.002","0","0","0","0","0","0","0"
"-0.001","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0.001","0","0","0","0","0","-0.002","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0.001","0","0.001","0"
"0","0","0","0","0","0","0","0"
"0.001","0","0.002","0","0","0","0","0"
"0.001","0","0.001","0","0.002","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0.002","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0.001","0"
"0","0","0","0","0","0","0","0"
"-0.003","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"-0.002","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"-0.003","0","0","0","0","0","-0.001","0"
"-0.002","0","0","0","0","0","0","0"
"0","0","0","0","0","0","-0.002","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"-0.002","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","-0.001","0"
"-0.002","0","0","0","0","0","0","0"
"0","0","0","0","-0.002","0","0","0"
"-0.001","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","-0.002","0","-0.002","0"
"-0.001","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0.001","0"
"0","0","0","0","0","0","0","0"
"-0.001","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","-0.003","0"
"0","0","-0.002","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0.002","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"-0.002","0","0","0","0","0","0","0"
"-0.001","0","0","0","0","0","-0.002","0"
"-0.001","0","-0.002","0","0","0","0","0"
"0","0","0.002","0","0.001","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","-0.002","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","-0.001","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"-0.001","0","0","0","0","0","0","0"
"-0.002","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0.001","0","0.002","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","-0.001","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","-0.002","0"
"0.001","0","0","0","0","0","-0.002","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0.001","0","0","0"
"0.001","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"-0.002","0","0","0","0","0","0","0"
"0","0","-0.002","0","-0.002","0","-0.002","0"
"-0.002","0","-0.002","0","-0.002","0","0","0"
"0","0","0.001","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"-0.003","0","-0.003","0","0","0","0","0"
"0","0","0","0","0","0","0.001","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"-0.001","0","0","0","0","0","0","0"
"0.001","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0.002","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"-0.001","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"-0.003","0","0","0","0","0","0","0"
"-0.002","0","-0.003","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0.001","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","-0.002","0","-0.002","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"-0.001","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"-0.001","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"-0.001","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0.001","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"-0.002","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"-0.001","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"-0.002","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0.002","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","-0.002","0","-0.002","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","-0.001","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","-0.001","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"-0.001","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","-0.002","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"-0.001","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","-0.002","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"-0.001","0","0.001","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"-0.002","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","-0.001","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"-0.002","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"-0.001","0","-0.001","0","-0.001","0","0","0"
"-0.002","0","0","0","0","0","0","0"
"0.001","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"-0.001","0","-0.001","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0.001","0","0","0","0","0","0","0"
"-0.002","0","0","0","0","0","0","0"
"0","0","0","0","0","0","-0.002","0"
"-0.002","0","-0.002","0","0","0","0","0"
"0","0","-0.003","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0.002","0"
"0","0","-0.002","0","0","0","0","0"
"0","0","0","0","-0.001","0","0","0"
"0","0","0.001","0","0.002","0","0","0"
"0.001","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0.002","0"
"-0.003","0","0","0","0","0","-0.003","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","-0.003","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0.002","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","-0.003","0"
"0","0","0","0","0","0","0","0"
"0.001","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","-0.003","0","-0.003","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0.001","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"-0.002","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"-0.002","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"-0.002","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","-0.001","0"
"0.001","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","-0.005","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0"
"0.001","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0.001","0"
